1|1|0|1|1
2|2|2|2|2
3|3|3|3|3
4|4|4|4|4
5|5|5|5|5
6|6|5|6|5
7|7|6|7|7
8|8|7|8|8
9|9|8|9|9
10|10|9|10|10
11|11|10|11|11
12|12|11|12|12
13|13|12|13|13
5|14|13|14|8
6|5|14|15|9
7|6|14|16|10
8|7|16|17|11
9|8|17|18|12
10|9|18|19|13
11|10|19|20|14
12|11|20|21|15
13|12|5|22|16
14|5|6|23|17
15|6|7|24|17
16|7|8|25|18
17|8|9|26|20
18|9|10|27|21
19|10|11|28|22
20|11|12|29|23
21|12|13|30|24
22|13|14|31|25
23|14|15|32|26
24|15|16|33|7
25|5|17|34|8
26|6|18|35|9
27|7|19|36|11
28|8|20|37|12
29|9|21|38|13
30|10|22|39|14
31|11|23|40|15
32|12|24|41|16
33|13|25|42|17
34|14|26|43|7
35|5|27|44|8
36|6|28|45|9
37|7|29|46|10
38|8|30|47|11
39|9|32|48|12
40|10|33|49|13
41|11|34|50|14
42|12|35|51|15
43|13|36|52|16
44|14|5|53|17
45|15|6|3|18
46|16|7|4|19
47|17|8|5|21
48|18|9|6|22
49|19|10|7|23
50|20|11|8|24
51|21|12|9|25
52|22|13|10|26
53|23|14|11|27
54|24|15|12|7
55|5|16|13|8
56|6|17|14|9
57|7|18|15|10
58|8|19|16|11
59|9|21|17|12
60|10|22|18|13
61|11|23|19|14
62|12|24|20|15
63|13|25|21|16
64|14|5|22|17
5|15|6|23|18
6|16|7|3|19
7|5|8|4|20
8|6|9|5|21
9|7|11|6|22
10|8|12|7|23
11|9|13|8|24
12|10|14|9|25
13|11|15|10|26
14|12|5|11|27
15|5|6|12|28
16|6|7|13|29
17|7|8|14|30
18|8|9|15|32
19|9|10|16|33
20|10|11|17|34
21|11|12|18|35
22|12|13|19|36
23|13|14|20|37
24|14|15|21|38
25|15|16|22|7
26|5|17|23|8
27|6|18|24|9
28|7|20|25|10
29|8|21|26|11
30|9|22|27|12
31|10|23|28|13
32|11|24|29|14
33|12|5|30|15
34|5|6|31|16
35|6|7|32|17
36|7|8|33|18
37|8|9|34|20
38|9|10|35|21
39|10|11|36|22
40|11|12|37|23
41|12|13|38|24
42|13|14|39|25
43|14|15|40|26
44|15|16|41|7
45|16|17|3|8
5|17|18|4|9
6|5|19|5|10
7|6|20|6|11
8|7|22|7|12
9|8|23|8|13
10|9|24|9|14
11|10|25|10|15
12|11|26|11|16
13|12|5|12|17
14|5|6|13|18
15|6|7|14|19
16|7|8|15|20
17|8|10|16|21
18|9|11|17|22
19|10|12|18|23
20|11|13|19|24
21|12|14|20|25
22|13|6|3|26
5|14|7|4|27
5|15|8|5|28
6|5|9|6|29
7|6|9|7|30
8|7|11|8|31
9|8|12|9|32
10|9|13|10|33
11|10|14|11|34
12|11|15|12|35
13|12|5|13|36
14|13|6|14|37
15|14|7|15|39
16|15|8|16|40
17|16|9|17|41
18|17|10|18|42
19|18|11|19|43
20|19|12|20|44
21|20|13|21|45
22|21|14|22|7
23|5|15|23|8
24|6|16|24|9
25|7|17|25|10
26|8|18|26|11
27|9|20|27|12
28|10|21|28|13
29|11|22|29|14
30|12|23|30|15
31|13|24|31|16
32|14|5|32|17
33|15|6|3|18
5|16|7|4|19
6|5|8|5|20
7|6|9|6|21
8|7|10|7|22
9|8|12|8|23
10|9|13|9|24
11|10|14|10|25
12|11|15|11|26
13|12|16|12|27
5|13|6|13|28
6|5|7|14|29
7|5|8|15|30
8|6|9|16|31
9|7|10|17|33
10|8|11|18|34
11|9|12|19|35
12|10|13|20|36
13|11|14|21|37
14|12|15|22|38
15|13|16|23|39
16|14|17|24|7
17|5|18|25|8
18|6|18|26|9
19|7|19|27|10
20|8|20|28|11
21|9|22|29|12
22|10|23|30|13
23|11|24|31|14
24|12|25|32|15
25|13|26|33|16
26|14|6|3|17
5|15|7|4|18
5|16|8|5|19
6|5|9|6|20
7|6|9|7|21
8|7|11|8|22
9|8|12|9|23
10|9|13|10|24
11|10|14|11|25
12|11|15|12|26
13|12|5|13|27
14|13|6|14|28
15|14|7|15|30
16|15|8|16|31
17|16|9|17|32
18|17|10|18|33
19|18|11|19|34
20|19|12|20|35
21|20|13|21|36
