2303|2323|6773296|0|0|0
1649|1704|6632689|18185|104319|170000
753|1617|6510971|18185|133222|0
85|1553|6418082|12785|114333|0
666|865|6301764|12785|85504|0
1221|210|6185270|12785|114333|0
639|897|6068952|12785|109109|0
85|1553|5952443|12785|114333|0
935|1848|5830725|12785|109124|0
637|998|5709007|12785|114333|0
1048|197|5587289|12785|114333|0
526|930|5465571|12785|114333|0
1030|185|5343853|12785|114333|0
1221|210|5311211|12785|114333|0
1132|36|5278215|12785|25257|0
505|622|5822870|12785|25611|0
1158|1240|5682263|18185|127960|340000
1204|1556|5699777|18185|133222|0
1942|2071|5559170|18185|60101|170000
1088|2357|5437452|18185|133222|0
510|2552|6013362|12785|114333|0
1402|2437|5872755|18185|96705|340000
1003|1630|5751037|18185|133222|0
1075|732|5629319|12785|114333|0
382|1306|5507601|12785|114333|0
839|531|5385883|12785|114333|0
1221|210|5314666|12785|114333|0
1132|36|5281670|12785|63832|0
505|622|5826325|12785|25611|0
1158|1240|5685718|18185|127960|340000
1204|1556|5703232|18185|133222|0
1942|2071|5562625|18185|60101|170000
1308|1431|5440907|18185|133222|0
1195|538|5319189|12785|114333|0
530|1145|5197471|12785|114333|0
959|354|5075753|12785|114333|0
1221|210|5029721|12785|114333|0
1132|36|4996725|12785|38647|0
505|622|5541380|12785|25611|0
1158|1240|5400773|18185|127960|340000
1204|1556|5673287|18185|133222|0
1942|2071|5532680|18185|60101|170000
2465|1338|5410962|18185|133222|0
2821|841|5986704|12785|114333|0
2654|52|5857873|18185|96873|340000
2839|932|5736155|18185|121446|0
2453|118|5614437|12785|114333|0
2654|52|5579411|12785|114333|0
2654|52|5571026|12785|27641|0
2516|941|5449308|7385|1000|0
1627|799|5327590|12785|114333|0
737|658|5205872|12785|114333|0
505|622|5829034|12785|114333|0
1132|36|5693689|18185|49453|340000
620|776|5577371|18185|127960|0
109|1517|5455653|12785|114333|0
620|776|5339335|12785|114333|0
1132|36|5217635|12785|114333|0
1221|210|5184639|12785|114315|0
1132|36|5151643|12785|25611|0
505|622|5696298|12785|25611|0
1158|1240|5555691|18185|127960|340000
1204|1556|5573205|18185|133222|0
1942|2071|5432598|18185|60101|170000
2303|2323|6029884|18185|133222|0
2599|1473|5889277|18185|75329|340000
2633|573|5767559|18185|133222|0
2914|1427|5645841|12785|114333|0
2614|578|5524123|12785|114333|0
2654|52|5449310|12785|114333|0
2654|52|5440925|12785|67428|0
2516|941|5319207|7385|1000|0
2378|1830|5197489|12785|114333|0
2303|2323|5787419|12785|114333|0
1564|1807|5646812|18185|82685|340000
2301|2322|5525094|18185|133222|0
1563|1806|5403376|12785|114333|0
1204|1556|6001013|12785|114333|0
1942|2071|5860406|18185|74978|340000
1204|1556|5804808|18185|133222|0
