1|0|1|1|1
2|1|2|2|2
3|2|3|3|3
4|3|4|4|3
5|4|4|5|4
6|5|5|6|4
4|6|6|7|5
5|7|7|8|4
4|8|8|9|5
5|9|9|10|4
6|10|7|11|5
7|11|8|12|4
8|12|9|13|4
9|13|10|14|4
10|4|11|15|5
11|5|12|16|4
4|6|13|17|5
5|7|14|18|4
4|8|15|19|5
5|9|16|20|4
6|4|17|21|5
7|5|18|22|4
8|4|19|23|5
9|4|20|24|6
10|4|21|25|7
11|5|22|26|4
4|6|23|27|5
5|7|24|28|4
6|8|25|3|5
7|9|26|4|4
8|4|27|5|5
9|5|28|6|4
4|6|29|7|5
5|7|30|8|4
6|8|31|9|4
7|9|32|10|4
4|10|33|11|5
5|11|34|12|4
6|4|35|13|5
7|5|36|14|4
4|6|37|15|5
5|7|38|16|4
6|8|7|17|5
7|9|8|18|4
8|10|9|3|5
9|11|10|3|6
10|12|11|3|7
11|13|12|4|4
4|14|13|5|5
5|15|14|6|4
4|16|15|7|5
5|17|16|8|4
6|18|7|9|5
7|19|8|10|4
8|20|7|11|5
9|21|8|12|4
10|22|9|13|4
11|23|10|14|4
12|4|11|15|5
13|5|12|16|4
14|6|7|17|5
15|7|8|18|4
16|8|9|3|5
17|9|10|4|4
18|10|11|3|5
19|11|12|4|4
20|4|13|5|5
21|4|14|6|6
22|4|15|7|7
23|5|16|8|4
24|6|7|9|5
25|7|8|10|4
26|8|7|11|5
27|9|8|12|4
28|10|9|3|5
29|11|10|4|4
30|12|11|3|5
31|13|12|4|4
32|14|13|5|4
33|15|14|6|4
34|4|15|7|5
35|5|16|8|4
36|6|17|3|5
37|7|18|4|4
38|8|19|3|5
39|9|20|4|4
4|10|21|5|5
5|11|22|6|4
6|12|23|3|5
7|13|24|3|6
8|14|25|3|7
9|15|26|4|4
4|16|27|5|5
5|17|28|6|4
4|18|29|7|5
5|19|30|8|4
4|20|31|9|5
5|21|32|10|4
6|4|33|11|5
7|5|34|12|4
8|6|35|13|4
9|7|36|14|4
10|4|37|15|5
11|5|38|16|4
12|6|39|3|5
13|7|40|4|4
14|4|41|5|5
15|5|42|6|4
16|4|43|7|5
17|5|44|8|4
18|6|7|9|5
19|7|7|10|6
20|8|7|11|7
