0|1|1|1|1
1|2|2|2|2
2|3|3|2|3
3|4|4|3|4
4|5|5|4|5
5|6|6|5|6
6|7|7|6|6
7|8|8|7|8
8|9|9|8|9
9|10|10|9|10
10|11|11|10|11
11|12|12|11|12
12|13|13|12|13
13|14|14|13|14
14|15|15|14|15
15|16|16|15|8
16|17|17|16|9
17|18|18|17|10
18|19|19|18|11
19|20|20|19|12
20|21|21|20|13
21|22|22|21|14
5|23|23|22|15
6|24|24|3|16
7|25|25|3|17
8|26|26|3|18
9|27|27|3|19
5|28|28|4|20
6|29|29|5|21
7|30|30|6|22
8|31|31|7|23
9|32|32|8|24
10|33|33|9|25
11|34|34|10|27
12|35|35|11|28
13|36|36|12|29
14|37|37|13|30
15|38|38|14|31
16|39|39|15|32
17|40|40|16|33
18|41|41|17|7
19|42|42|18|8
20|43|43|19|9
21|44|44|20|10
22|45|45|21|11
5|46|46|22|12
6|47|47|3|13
7|48|48|3|14
8|49|49|3|15
9|50|50|3|16
5|51|51|4|17
6|52|52|3|18
7|53|53|3|19
8|54|54|3|20
5|55|55|4|21
6|5|56|5|22
7|5|57|6|23
8|5|58|7|24
5|6|59|8|25
6|7|59|9|26
7|8|60|10|27
8|9|61|11|28
9|10|62|12|29
10|11|64|13|30
11|12|65|14|31
12|13|66|15|32
13|14|67|16|33
14|15|68|17|34
15|16|5|18|35
16|17|6|19|36
17|18|7|20|37
18|19|8|21|38
5|20|9|22|39
6|5|10|23|40
7|5|11|24|41
8|5|12|25|42
9|5|13|26|43
5|6|14|27|44
6|7|15|28|45
7|8|16|29|46
8|9|17|30|47
9|10|18|31|48
10|11|19|32|49
11|12|20|33|51
12|13|21|34|52
13|14|22|35|53
14|15|23|36|54
15|16|24|37|55
16|17|25|38|56
17|18|26|39|57
18|19|27|40|7
19|20|28|41|8
20|21|29|42|9
21|22|30|43|10
22|23|31|44|11
5|24|32|45|12
6|5|33|46|13
7|5|34|47|14
5|6|35|48|15
6|7|36|49|16
7|8|37|50|17
8|9|38|51|18
9|10|39|52|19
10|11|40|53|20
11|12|41|54|22
12|13|42|55|23
13|14|43|56|24
14|15|44|57|25
15|16|45|58|26
16|17|46|59|27
17|18|47|60|28
18|19|48|61|7
19|20|49|62|8
20|21|50|63|9
21|22|51|64|10
22|23|52|65|11
5|24|53|66|12
6|25|54|3|13
7|26|55|3|14
8|27|56|3|15
9|28|57|3|16
5|29|58|4|17
6|30|59|5|18
7|31|60|6|19
8|32|61|7|20
9|33|62|8|21
10|34|63|9|22
11|35|65|10|23
12|36|66|11|24
13|37|67|12|25
14|38|68|13|26
15|39|69|14|27
16|40|5|15|28
17|41|6|16|29
18|42|7|17|30
19|43|8|18|31
5|44|9|19|32
6|45|10|20|33
7|46|11|21|34
8|47|12|22|35
9|48|13|23|36
10|49|14|24|37
11|50|15|25|39
12|51|16|26|40
13|52|17|27|41
14|53|18|28|42
15|54|19|29|43
16|55|20|30|44
17|56|21|31|45
18|57|22|32|7
19|58|23|33|8
20|59|24|34|9
21|60|25|35|10
22|61|26|36|11
5|62|27|37|12
6|63|28|3|13
7|64|29|3|14
8|65|30|3|15
9|66|31|3|16
5|67|32|4|17
6|68|33|5|18
7|69|34|6|19
8|70|35|7|20
9|71|36|8|21
10|72|37|9|22
11|73|38|10|24
12|74|39|11|25
13|75|40|12|26
14|76|41|13|27
15|77|42|14|28
16|78|43|15|29
17|79|44|16|30
18|80|45|17|7
19|81|46|18|8
20|82|47|19|9
21|83|48|20|10
22|84|49|21|11
5|85|50|22|12
6|5|51|23|13
7|5|52|24|14
5|6|53|25|15
6|7|54|26|16
7|8|55|27|17
8|9|56|28|18
9|10|57|29|19
10|11|59|30|20
11|12|60|31|21
12|13|61|32|22
13|14|62|33|23
14|15|63|34|24
15|16|5|35|25
16|17|6|36|26
17|18|7|37|27
18|19|8|38|28
5|20|9|39|29
6|21|10|40|30
7|22|11|41|31
8|23|12|42|32
9|24|13|43|33
10|25|14|44|34
11|26|15|45|36
12|27|16|46|37
13|28|17|47|38
14|29|18|48|39
15|30|19|49|40
16|31|20|50|41
17|32|21|51|42
18|33|22|52|7
19|34|23|53|8
20|35|24|54|9
21|36|25|55|10
22|37|26|56|11
5|38|27|57|12
6|5|28|58|13
7|5|29|59|14
5|6|30|60|15
6|7|31|61|16
7|8|32|62|17
8|9|33|63|18
9|10|34|64|19
10|11|35|65|20
11|12|36|66|22
12|13|37|67|23
13|14|38|68|24
14|15|39|69|25
15|16|40|70|26
16|17|41|71|27
17|18|42|72|28
18|19|43|73|7
19|20|44|74|8
20|21|45|75|9
21|22|46|76|10
22|23|47|77|11
5|24|48|78|12
6|25|49|3|13
7|26|50|3|14
8|27|51|3|15
9|28|52|3|16
5|29|53|4|17
6|30|54|5|18
7|31|55|6|19
8|32|56|7|20
9|33|57|8|21
10|34|58|9|22
11|35|60|10|23
12|36|61|11|24
13|37|62|12|25
14|38|63|13|26
15|39|64|14|27
16|40|5|15|28
17|41|6|16|29
18|42|7|17|30
19|43|8|18|31
5|44|9|19|32
6|45|10|20|33
7|46|11|21|34
8|47|12|22|35
9|48|13|23|36
10|49|14|24|37
11|50|15|25|39
12|51|16|26|40
13|52|17|27|41
14|53|18|28|42
15|54|19|29|43
16|55|20|30|44
17|56|21|31|45
18|57|22|32|7
19|58|23|33|8
20|59|24|34|9
21|60|25|35|10
22|61|26|36|11
5|62|27|37|12
6|63|28|38|13
7|64|29|39|14
8|65|30|40|15
9|66|31|41|17
10|67|32|42|18
11|68|33|43|19
12|69|34|44|20
13|70|35|45|21
14|71|36|46|22
15|72|37|47|23
16|73|38|48|7
17|74|39|49|8
18|75|40|50|9
19|76|41|51|10
20|77|42|52|11
5|78|43|53|12
6|79|44|54|13
7|80|45|55|14
8|81|46|56|15
9|82|47|57|16
10|83|49|58|17
11|84|50|59|18
12|85|51|60|19
13|86|52|61|20
14|87|53|62|21
15|88|5|63|22
16|89|6|64|23
17|90|7|65|24
18|91|8|66|25
5|92|9|67|26
6|93|10|3|27
7|94|11|3|28
8|95|12|3|29
9|96|13|3|30
10|97|14|3|31
5|98|15|4|32
6|5|16|5|33
7|5|17|6|34
8|5|18|7|35
5|6|19|8|36
6|7|20|9|37
7|8|21|10|38
8|9|22|11|39
9|10|23|12|40
10|11|25|13|41
11|12|26|14|42
12|13|27|15|43
13|14|28|16|44
14|15|29|17|45
15|16|5|18|46
16|17|6|19|47
17|18|7|20|48
18|19|8|21|49
5|20|9|22|50
6|21|10|23|51
7|22|11|24|52
8|23|12|25|53
9|24|13|26|54
10|25|14|27|55
11|26|15|28|57
12|27|16|29|58
13|28|17|30|59
14|29|18|31|60
15|30|19|32|61
16|31|20|33|62
17|32|21|34|63
18|33|22|35|7
19|34|23|36|8
20|35|24|37|9
21|36|25|38|10
22|37|26|39|11
5|38|27|40|12
6|39|28|41|13
7|40|29|42|14
8|41|30|43|15
9|42|31|44|17
10|43|32|45|18
11|44|33|46|19
12|45|34|47|20
13|46|35|48|21
14|47|36|49|22
15|48|37|50|23
16|49|38|51|7
17|50|39|52|8
18|51|40|53|9
19|52|41|54|10
20|53|42|55|11
5|54|43|56|12
6|55|44|57|13
7|56|45|58|14
8|57|46|59|15
9|58|47|60|16
10|59|49|61|17
11|60|50|62|18
12|61|51|63|19
13|62|52|64|20
14|63|53|65|21
15|64|5|66|22
16|65|6|67|23
17|66|7|68|24
18|67|8|69|25
5|68|9|70|26
6|69|10|3|27
7|70|11|3|28
8|71|12|3|29
9|72|13|3|30
10|73|14|3|31
5|74|15|4|32
6|75|16|3|33
7|76|17|3|34
8|77|18|3|35
5|78|19|4|36
6|79|20|3|37
7|80|21|3|38
8|81|22|3|39
5|82|23|4|40
6|83|24|5|41
7|84|25|6|42
8|85|26|7|43
9|86|27|8|44
10|87|28|9|45
11|88|29|10|47
12|89|30|11|48
13|90|31|12|49
14|91|32|13|50
15|92|33|14|51
16|93|34|15|52
17|94|35|16|53
18|95|36|17|7
19|96|37|18|8
20|97|38|19|9
21|98|39|20|10
22|99|40|21|11
5|100|41|22|12
6|5|42|23|13
7|5|43|24|14
5|6|44|25|15
6|5|45|26|16
7|5|46|27|17
8|5|47|28|18
5|6|48|29|19
6|5|49|30|20
7|5|50|31|21
8|5|51|32|22
5|6|52|33|23
6|7|53|34|24
7|8|54|35|25
8|9|55|36|26
9|10|56|37|27
10|11|58|38|28
11|12|59|39|29
12|13|60|40|30
13|14|61|41|31
14|15|62|42|32
15|16|5|43|33
16|17|6|44|34
17|18|7|45|35
18|19|8|46|36
5|20|9|47|37
6|21|10|3|38
7|22|11|3|39
8|23|12|3|40
9|24|13|3|41
10|25|14|3|42
5|26|15|4|43
6|5|16|5|44
7|5|17|6|45
8|5|18|7|46
5|6|19|8|47
6|7|20|3|48
7|8|21|3|49
8|9|22|3|50
9|10|23|3|51
5|11|24|4|52
6|5|25|5|53
7|5|26|6|54
8|5|27|7|55
5|6|28|8|56
6|7|29|9|57
7|8|30|10|58
8|9|31|11|59
9|10|32|12|60
10|11|33|13|61
11|12|34|14|63
12|13|35|15|64
13|14|36|16|65
14|15|37|17|66
15|16|38|18|67
16|17|39|19|68
17|18|40|20|69
18|19|41|21|7
19|20|42|22|8
20|21|43|23|9
21|22|44|24|10
22|23|45|25|11
5|24|46|26|12
6|5|47|27|13
7|5|48|28|14
5|6|49|29|15
6|5|50|30|16
7|5|51|31|17
8|5|52|32|18
5|6|53|33|19
6|7|54|34|20
7|8|55|35|21
8|9|56|36|22
9|10|57|37|23
10|11|59|38|24
11|12|60|39|25
12|13|61|40|26
13|14|62|41|27
14|15|63|42|28
15|16|5|43|29
16|17|6|44|30
17|18|7|45|31
18|19|8|46|32
5|20|9|47|33
6|21|10|48|34
7|22|11|49|35
8|23|12|50|36
9|24|14|51|37
10|25|15|52|38
11|26|16|53|39
12|27|17|54|40
13|28|18|55|41
14|29|5|56|42
15|30|6|57|43
16|31|7|58|44
17|32|8|59|45
5|33|9|60|46
6|34|10|61|47
7|35|11|62|48
8|36|12|63|49
9|37|13|64|50
10|38|14|65|51
11|39|15|66|53
12|40|16|67|54
13|41|17|68|55
14|42|18|69|56
15|43|19|70|57
16|44|20|71|58
17|45|21|72|59
18|46|22|73|7
19|47|23|74|8
20|48|24|75|9
21|49|25|76|10
22|50|26|77|11
5|51|27|78|12
6|52|28|3|13
7|53|29|3|14
8|54|30|3|15
9|55|31|3|16
5|56|32|4|17
6|57|33|3|18
7|58|34|3|19
8|59|35|3|20
5|60|36|4|21
6|5|37|5|22
7|5|38|6|23
8|5|39|7|24
5|6|40|8|25
6|5|41|9|26
7|5|42|10|27
8|5|43|11|28
5|6|44|12|29
6|7|45|3|30
7|8|46|3|31
8|9|47|3|32
9|10|48|3|33
5|11|49|4|34
6|12|50|5|35
7|13|51|6|36
8|14|52|7|37
9|15|53|8|38
10|16|54|9|39
11|17|55|10|41
12|18|56|11|42
13|19|57|12|43
14|20|58|13|44
15|21|59|14|45
16|22|60|15|46
17|23|61|16|47
18|24|62|17|7
19|25|63|18|8
20|26|64|19|9
21|27|65|20|10
22|28|66|21|11
5|29|67|22|12
6|30|68|23|13
7|31|69|24|14
8|32|70|25|15
9|33|71|26|17
10|34|72|27|18
11|35|73|28|19
12|36|74|29|20
13|37|75|30|21
14|38|76|31|22
15|39|77|32|23
16|40|78|33|7
17|41|79|34|8
18|42|80|35|9
19|43|81|36|10
20|44|82|37|11
5|45|83|38|12
6|46|84|39|13
7|47|85|40|14
8|48|86|41|15
9|49|87|42|17
10|50|88|43|18
11|51|89|44|19
12|52|90|45|20
13|53|91|46|21
